"","pmax","stability","S_seagrass","S_bistable","S_bare","CA_seagrass","CA_bistable","CA_bare","CS_seagrass","CS_bistable","CS_bare","CB_seagrass","CB_bistable","CB_bare","N_seagrass","N_bistable","N_bare"
"39",1.64765100671141,"bistable",1903.57,6.52,0,2.92,0.47,0.37,15.31,0.15,0,27592.74,902.05,534.44,0.01,0.96,0.92
"40",1.67785234899329,"bistable",1935.64,7.02,0,2.98,0.49,0.37,15.55,0.16,0,28058.23,940.61,544.24,0.01,0.97,0.93
"41",1.70805369127517,"bistable",1967.73,7.54,0,3.03,0.5,0.38,15.79,0.17,0,28523.88,980.09,554.04,0.01,0.99,0.94
"42",1.73825503355705,"bistable",1999.82,8.08,0,3.09,0.52,0.39,16.03,0.18,0,28989.69,1020.54,563.83,0.01,1,0.94
"43",1.76845637583893,"bistable",2031.92,8.63,0,3.15,0.54,0.39,16.27,0.19,0,29455.65,1061.98,573.63,0.01,1.01,0.95
"44",1.79865771812081,"bistable",2064.02,9.2,0,3.2,0.56,0.4,16.51,0.2,0,29921.74,1104.45,583.43,0.01,1.03,0.95
"45",1.82885906040268,"bistable",2096.14,9.79,0,3.26,0.58,0.41,16.75,0.21,0,30387.97,1147.98,593.23,0.01,1.04,0.96
"46",1.85906040268456,"bistable",2128.26,10.4,0,3.31,0.6,0.41,16.99,0.22,0,30854.33,1192.62,603.03,0.01,1.06,0.97
"47",1.88926174496644,"bistable",2160.38,11.03,0,3.37,0.62,0.42,17.23,0.23,0,31320.8,1238.41,612.83,0.01,1.07,0.97
"48",1.91946308724832,"bistable",2192.52,11.68,0,3.42,0.64,0.43,17.47,0.24,0,31787.38,1285.38,622.63,0.01,1.09,0.98
"49",1.9496644295302,"bistable",2224.65,12.36,0,3.48,0.66,0.43,17.71,0.25,0,32254.06,1333.59,632.43,0.01,1.1,0.98
"50",1.97986577181208,"bistable",2256.8,13.05,0,3.54,0.68,0.44,17.94,0.27,0,32720.84,1383.07,642.23,0.01,1.12,0.99
"51",2.01006711409396,"bistable",2288.94,13.78,0,3.59,0.7,0.45,18.18,0.28,0,33187.71,1433.88,652.03,0.01,1.14,1
"52",2.04026845637584,"bistable",2321.09,14.52,0,3.65,0.73,0.45,18.42,0.29,0,33654.67,1486.07,661.83,0.01,1.16,1
"53",2.07046979865772,"bistable",2353.25,15.3,0,3.7,0.75,0.46,18.66,0.3,0,34121.7,1539.7,671.63,0.01,1.18,1.01
"54",2.1006711409396,"bistable",2385.4,16.1,0,3.76,0.78,0.47,18.89,0.31,0,34588.8,1594.81,681.43,0.01,1.2,1.02
"55",2.13087248322148,"bistable",2417.56,16.94,0,3.81,0.8,0.47,19.13,0.33,0,35055.97,1651.47,691.23,0.01,1.22,1.02
"56",2.16107382550336,"bistable",2449.72,17.8,0,3.87,0.83,0.48,19.37,0.34,0,35523.2,1709.74,701.03,0.01,1.24,1.03
"57",2.19127516778523,"bistable",2481.88,18.7,0,3.92,0.86,0.49,19.6,0.35,0,35990.48,1769.69,710.83,0.01,1.26,1.03
"58",2.22147651006711,"bistable",2514.04,19.63,0,3.98,0.89,0.49,19.84,0.37,0,36457.81,1831.38,720.63,0.01,1.28,1.04
