"pmax","ma","temp","pattern","lag"
1000,1000,0,"--",215.484931506849
947.367123287671,1000,0,"--",225.26301369863
894.73698630137,1000,0,"--",237.049315068493
842.104109589041,1000,0,"--",252.238356164384
789.47397260274,1000,0,"--",274.904109589041
736.841095890411,1000,0,"-+",321.638356164384
684.21095890411,1000,0,"-+",352.161643835616
631.578082191781,1000,0,"-+",369.553424657534
578.947945205479,1000,0,"-+",381.331506849315
526.315068493151,1000,0,"-+",390.213698630137
473.684931506849,1000,0,"-+",397.438356164384
421.052054794521,1000,0,"-+",403.621917808219
368.421917808219,1000,0,"-+",409.076712328767
315.78904109589,1000,0,"-+",413.906849315068
263.158904109589,1000,0,"++",418.07397260274
210.52602739726,1000,0,"++",421.361643835616
157.895890410959,1000,0,"++",423.306849315069
105.26301369863,1000,0,"++",422.882191780822
52.6328767123288,1000,0,"++",417.178082191781
0,1000,0,"--",371.572602739726
1000,947.367123287671,0,"--",208.868493150685
947.367123287671,947.367123287671,0,"--",218.161643835616
894.73698630137,947.367123287671,0,"--",229.205479452055
842.104109589041,947.367123287671,0,"--",243.052054794521
789.47397260274,947.367123287671,0,"--",262.397260273973
736.841095890411,947.367123287671,0,"--",301.424657534247
684.21095890411,947.367123287671,0,"-+",341.868493150685
631.578082191781,947.367123287671,0,"-+",362.67397260274
578.947945205479,947.367123287671,0,"-+",376.07397260274
526.315068493151,947.367123287671,0,"-+",385.865753424658
473.684931506849,947.367123287671,0,"-+",393.665753424658
421.052054794521,947.367123287671,0,"-+",400.260273972603
368.421917808219,947.367123287671,0,"-+",406.038356164384
315.78904109589,947.367123287671,0,"-+",411.161643835616
263.158904109589,947.367123287671,0,"-+",415.616438356164
210.52602739726,947.367123287671,0,"++",419.208219178082
157.895890410959,947.367123287671,0,"++",421.490410958904
105.26301369863,947.367123287671,0,"++",421.46301369863
52.6328767123288,947.367123287671,0,"++",416.2
0,947.367123287671,0,"--",371.578082191781
1000,894.73698630137,0,"--",202.139726027397
947.367123287671,894.73698630137,0,"--",210.997260273973
894.73698630137,894.73698630137,0,"--",221.380821917808
842.104109589041,894.73698630137,0,"--",234.120547945205
789.47397260274,894.73698630137,0,"--",251.087671232877
736.841095890411,894.73698630137,0,"--",279.082191780822
684.21095890411,894.73698630137,0,"--",328.871232876712
631.578082191781,894.73698630137,0,"-+",354.591780821918
578.947945205479,894.73698630137,0,"-+",370.123287671233
526.315068493151,894.73698630137,0,"-+",381.052054794521
473.684931506849,894.73698630137,0,"-+",389.539726027397
421.052054794521,894.73698630137,0,"-+",396.608219178082
368.421917808219,894.73698630137,0,"-+",402.747945205479
315.78904109589,894.73698630137,0,"-+",408.18904109589
263.158904109589,894.73698630137,0,"-+",412.950684931507
210.52602739726,894.73698630137,0,"++",416.865753424658
