"temp","ma","pmax","pattern","lag"
1000,1000,0,"--",386.139726027397
947.367123287671,1000,0,"--",358.994520547945
894.73698630137,1000,0,"--",334.484931506849
842.104109589041,1000,0,"--",313.967123287671
789.47397260274,1000,0,"--",298.142465753425
736.841095890411,1000,0,"--",287.07397260274
684.21095890411,1000,0,"--",280.153424657534
631.578082191781,1000,0,"--",276.443835616438
578.947945205479,1000,0,"--",275.093150684932
526.315068493151,1000,0,"--",275.493150684931
473.684931506849,1000,0,"--",277.254794520548
421.052054794521,1000,0,"--",280.142465753425
368.421917808219,1000,0,"--",283.997260273973
315.78904109589,1000,0,"--",288.690410958904
263.158904109589,1000,0,"--",294.093150684932
210.52602739726,1000,0,"--",300.038356164384
157.895890410959,1000,0,"--",306.331506849315
105.26301369863,1000,0,"+-",312.764383561644
52.6328767123288,1000,0,"+-",319.265753424658
0,1000,0,"--",371.572602739726
1000,947.367123287671,0,"--",395.698630136986
947.367123287671,947.367123287671,0,"--",367.117808219178
894.73698630137,947.367123287671,0,"--",341.197260273973
842.104109589041,947.367123287671,0,"--",319.060273972603
789.47397260274,947.367123287671,0,"--",301.621917808219
736.841095890411,947.367123287671,0,"--",289.145205479452
684.21095890411,947.367123287671,0,"--",281.145205479452
631.578082191781,947.367123287671,0,"--",276.684931506849
578.947945205479,947.367123287671,0,"--",274.838356164384
526.315068493151,947.367123287671,0,"--",274.909589041096
473.684931506849,947.367123287671,0,"--",276.452054794521
421.052054794521,947.367123287671,0,"--",279.202739726027
368.421917808219,947.367123287671,0,"--",282.98904109589
315.78904109589,947.367123287671,0,"--",287.676712328767
263.158904109589,947.367123287671,0,"--",293.123287671233
210.52602739726,947.367123287671,0,"--",299.161643835616
157.895890410959,947.367123287671,0,"--",305.586301369863
105.26301369863,947.367123287671,0,"+-",312.175342465753
52.6328767123288,947.367123287671,0,"+-",318.830136986301
0,947.367123287671,0,"--",371.578082191781
1000,894.73698630137,0,"--",406.646575342466
947.367123287671,894.73698630137,0,"--",376.449315068493
894.73698630137,894.73698630137,0,"--",348.786301369863
842.104109589041,894.73698630137,0,"--",324.964383561644
789.47397260274,894.73698630137,0,"--",305.778082191781
736.841095890411,894.73698630137,0,"--",291.715068493151
684.21095890411,894.73698630137,0,"--",282.468493150685
631.578082191781,894.73698630137,0,"--",277.128767123288
578.947945205479,894.73698630137,0,"--",274.690410958904
526.315068493151,894.73698630137,0,"--",274.369863013699
473.684931506849,894.73698630137,0,"--",275.652054794521
421.052054794521,894.73698630137,0,"--",278.241095890411
368.421917808219,894.73698630137,0,"--",281.934246575342
315.78904109589,894.73698630137,0,"--",286.594520547945
263.158904109589,894.73698630137,0,"--",292.076712328767
210.52602739726,894.73698630137,0,"--",298.208219178082
157.895890410959,894.73698630137,0,"--",304.775342465753
105.26301369863,894.73698630137,0,"+-",311.531506849315
52.6328767123288,894.73698630137,0,"+-",318.347945205479
0,894.73698630137,0,"--",371.578082191781
1000,842.104109589041,0,"--",418.843835616438
947.367123287671,842.104109589041,0,"--",387.202739726027
894.73698630137,842.104109589041,0,"--",357.764383561644
842.104109589041,842.104109589041,0,"--",331.805479452055
789.47397260274,842.104109589041,0,"--",310.728767123288
736.841095890411,842.104109589041,0,"--",294.895890410959
684.21095890411,842.104109589041,0,"--",284.208219178082
631.578082191781,842.104109589041,0,"--",277.827397260274
578.947945205479,842.104109589041,0,"--",274.687671232877
526.315068493151,842.104109589041,0,"--",273.895890410959
473.684931506849,842.104109589041,0,"--",274.871232876712
421.052054794521,842.104109589041,0,"--",277.252054794521
368.421917808219,842.104109589041,0,"--",280.830136986301
315.78904109589,842.104109589041,0,"--",285.446575342466
263.158904109589,842.104109589041,0,"--",290.953424657534
210.52602739726,842.104109589041,0,"--",297.172602739726
157.895890410959,842.104109589041,0,"--",303.882191780822
105.26301369863,842.104109589041,0,"+-",310.813698630137
52.6328767123288,842.104109589041,0,"+-",317.816438356164
0,842.104109589041,0,"--",371.575342465753
1000,789.47397260274,0,"--",432.339726027397
947.367123287671,789.47397260274,0,"--",399.282191780822
894.73698630137,789.47397260274,0,"--",368.238356164384
842.104109589041,789.47397260274,0,"--",340.178082191781
789.47397260274,789.47397260274,0,"--",316.676712328767
736.841095890411,789.47397260274,0,"--",298.827397260274
684.21095890411,789.47397260274,0,"--",286.471232876712
631.578082191781,789.47397260274,0,"--",278.857534246575
578.947945205479,789.47397260274,0,"--",274.87397260274
526.315068493151,789.47397260274,0,"--",273.520547945205
473.684931506849,789.47397260274,0,"--",274.117808219178
421.052054794521,789.47397260274,0,"--",276.249315068493
368.421917808219,789.47397260274,0,"--",279.67397260274
315.78904109589,789.47397260274,0,"--",284.221917808219
263.158904109589,789.47397260274,0,"--",289.739726027397
210.52602739726,789.47397260274,0,"--",296.041095890411
157.895890410959,789.47397260274,0,"--",302.893150684932
105.26301369863,789.47397260274,0,"+-",310.019178082192
52.6328767123288,789.47397260274,0,"+-",317.219178082192
0,789.47397260274,0,"--",371.578082191781
1000,736.841095890411,0,"--",447.257534246575
947.367123287671,736.841095890411,0,"--",412.772602739726
894.73698630137,736.841095890411,0,"--",380.139726027397
842.104109589041,736.841095890411,0,"--",350.131506849315
789.47397260274,736.841095890411,0,"--",324.268493150685
736.841095890411,736.841095890411,0,"--",303.808219178082
684.21095890411,736.841095890411,0,"--",289.397260273973
631.578082191781,736.841095890411,0,"--",280.315068493151
578.947945205479,736.841095890411,0,"--",275.312328767123
526.315068493151,736.841095890411,0,"--",273.279452054795
473.684931506849,736.841095890411,0,"--",273.419178082192
421.052054794521,736.841095890411,0,"--",275.243835616438
368.421917808219,736.841095890411,0,"--",278.471232876712
315.78904109589,736.841095890411,0,"--",282.917808219178
263.158904109589,736.841095890411,0,"--",288.424657534247
210.52602739726,736.841095890411,0,"--",294.8
