"pmax","temp","ma","pattern","lag"
631.578082191781,210.52602739726,0,"++",134.049315068493
578.947945205479,210.52602739726,0,"++",137.882191780822
526.315068493151,210.52602739726,0,"++",142.967123287671
473.684931506849,210.52602739726,0,"++",150.213698630137
421.052054794521,210.52602739726,0,"++",162.123287671233
368.421917808219,210.52602739726,0,"++",197.934246575342
315.78904109589,210.52602739726,0,"++",227.493150684931
263.158904109589,210.52602739726,0,"++",235.597260273973
210.52602739726,210.52602739726,0,"++",240.619178082192
157.895890410959,210.52602739726,0,"++",246.465753424658
105.26301369863,210.52602739726,0,"++",255.676712328767
52.6328767123288,210.52602739726,0,"++",269.041095890411
0,210.52602739726,0,"+-",305.73698630137
1000,157.895890410959,0,"+=",117.542465753425
947.367123287671,157.895890410959,0,"+=",118.372602739726
894.73698630137,157.895890410959,0,"+=",119.312328767123
842.104109589041,157.895890410959,0,"+=",120.38904109589
789.47397260274,157.895890410959,0,"+=",121.641095890411
736.841095890411,157.895890410959,0,"+=",123.112328767123
684.21095890411,157.895890410959,0,"+=",124.871232876712
631.578082191781,157.895890410959,0,"+=",127.013698630137
578.947945205479,157.895890410959,0,"+=",129.687671232877
526.315068493151,157.895890410959,0,"+=",133.150684931507
473.684931506849,157.895890410959,0,"+=",137.857534246575
421.052054794521,157.895890410959,0,"+=",144.794520547945
368.421917808219,157.895890410959,0,"++",156.854794520548
315.78904109589,157.895890410959,0,"++",199.27397260274
263.158904109589,157.895890410959,0,"++",225.027397260274
210.52602739726,157.895890410959,0,"++",232.443835616438
157.895890410959,157.895890410959,0,"++",237.216438356164
105.26301369863,157.895890410959,0,"++",243.465753424658
52.6328767123288,157.895890410959,0,"++",252.967123287671
0,157.895890410959,0,"+-",307.331506849315
1000,105.26301369863,0,"+=",115.364383561644
947.367123287671,105.26301369863,0,"+=",115.920547945205
894.73698630137,105.26301369863,0,"+=",116.558904109589
842.104109589041,105.26301369863,0,"+=",117.284931506849
789.47397260274,105.26301369863,0,"+=",118.12602739726
736.841095890411,105.26301369863,0,"+=",119.112328767123
684.21095890411,105.26301369863,0,"+=",120.284931506849
631.578082191781,105.26301369863,0,"+=",121.704109589041
578.947945205479,105.26301369863,0,"+=",123.457534246575
526.315068493151,105.26301369863,0,"+=",125.690410958904
473.684931506849,105.26301369863,0,"+=",128.641095890411
421.052054794521,105.26301369863,0,"+=",132.761643835616
368.421917808219,105.26301369863,0,"+=",139.060273972603
315.78904109589,105.26301369863,0,"+=",150.690410958904
263.158904109589,105.26301369863,0,"+=",197.739726027397
210.52602739726,105.26301369863,0,"++",222.112328767123
157.895890410959,105.26301369863,0,"++",229.07397260274
105.26301369863,105.26301369863,0,"++",233.569863013699
52.6328767123288,105.26301369863,0,"++",239.93698630137
0,105.26301369863,0,"+=",309.383561643836
1000,52.6328767123288,0,"+=",114.934246575342
947.367123287671,52.6328767123288,0,"+=",115.282191780822
894.73698630137,52.6328767123288,0,"+=",115.671232876712
842.104109589041,52.6328767123288,0,"+=",116.123287671233
789.47397260274,52.6328767123288,0,"+=",116.638356164384
736.841095890411,52.6328767123288,0,"+=",117.243835616438
684.21095890411,52.6328767123288,0,"+=",117.956164383562
631.578082191781,52.6328767123288,0,"+=",118.813698630137
578.947945205479,52.6328767123288,0,"+=",119.865753424658
526.315068493151,52.6328767123288,0,"+=",121.183561643836
473.684931506849,52.6328767123288,0,"+=",122.893150684932
421.052054794521,52.6328767123288,0,"+=",125.208219178082
368.421917808219,52.6328767123288,0,"+=",128.531506849315
315.78904109589,52.6328767123288,0,"+=",133.819178082192
263.158904109589,52.6328767123288,0,"+=",144.178082191781
210.52602739726,52.6328767123288,0,"+=",194.230136986301
157.895890410959,52.6328767123288,0,"+=",219.397260273973
105.26301369863,52.6328767123288,0,"+=",225.983561643836
52.6328767123288,52.6328767123288,0,"++",229.791780821918
0,52.6328767123288,0,"+=",312.309589041096
1000,0,0,"++",485.076712328767
947.367123287671,0,0,"++",484.104109589041
894.73698630137,0,0,"++",483.005479452055
842.104109589041,0,0,"++",481.764383561644
789.47397260274,0,0,"++",480.361643835616
736.841095890411,0,0,"++",478.767123287671
684.21095890411,0,0,"++",476.958904109589
631.578082191781,0,0,"++",474.895890410959
578.947945205479,0,0,"++",472.53698630137
526.315068493151,0,0,"++",469.827397260274
473.684931506849,0,0,"++",466.704109589041
421.052054794521,0,0,"++",463.071232876712
368.421917808219,0,0,"++",458.821917808219
315.78904109589,0,0,"++",453.802739726027
263.158904109589,0,0,"++",447.8
210.52602739726,0,0,"++",440.512328767123
157.895890410959,0,0,"++",431.493150684931
105.26301369863,0,0,"++",420.041095890411
52.6328767123288,0,0,"++",404.958904109589
